activityId,assetId,companyId,currentTripCost,driverEmergencyButton,driverId,humidity,insertionTime,isOccupied,latLng2,numberOfPassengers,originalTime,passengerEmergencyButton,readingId,requestTime,sensorStatus,sfdaSensorStatus,temprature,velocity,weight,latLng,lat,long
24,25628,3,,,,0,2021-08-31T22:27:00,,0x00000000010C000000E0F2394740000000C047723840,,2021-08-31T22:26:00,,D770C80F-83D5-462F-87C5-A521CBACF68C,2021-08-31T22:27:00,3,,0,76,16200,0x00000000010C000000E0F2394740000000C047723840,24.44640732,46.45272446
24,125997,37,,,,0,2021-08-31T22:27:00,,0x00000000010CF629221EE402494071C971A774703A40,,2021-08-31T22:26:00,,3A41B2B9-929C-452F-858A-2D16E1F17954,2021-08-31T22:27:00,2,,0,0,11878.82324,0x00000000010CF629221EE402494071C971A774703A40,26.43928,50.0225866
0,114841,6,,,,,2021-08-31T22:27:00,,0x00000000010CC18BBE82346345401CC8C4F70FFD3640,,2021-08-31T22:26:00,,8F90701C-24E1-4964-B6E1-BC30CC5EBFE7,2021-08-31T22:27:00,3,,,7,8962,0x00000000010CC18BBE82346345401CC8C4F70FFD3640,22.9885249,42.77504
0,127538,6,,,,,2021-08-31T22:27:00,,0x00000000010C90060143A0774740E6406A6EE07B3840,,2021-08-31T22:26:00,,26E3E3C9-820F-4CC9-A0EF-EBE7D98AD14B,2021-08-31T22:27:00,3,,,9,38782,0x00000000010C90060143A0774740E6406A6EE07B3840,24.4838933,46.9345783
24,152452,3,,,,0,2021-08-31T22:27:00,,0x00000000010C0A2E56D460FE4840FAF202ECA32F3A40,,2021-08-31T22:26:00,,1B098DBB-7EE8-4BB3-B516-E6FE1098B2FA,2021-08-31T22:27:00,8,,0,30,37942.82813,0x00000000010C0A2E56D460FE4840FAF202ECA32F3A40,26.186095,49.98733
24,152452,3,,,,0,2021-08-31T22:27:00,,0x00000000010C9AE2BBDE47FE484004ED69E2782F3A40,,2021-08-31T22:26:00,,AE3E5C73-A57F-42D6-BF49-88C0721BC1E1,2021-08-31T22:27:00,8,,0,30,37668.69922,0x00000000010C9AE2BBDE47FE484004ED69E2782F3A40,26.1854383,49.9865683
0,118035,19,,,70530,,2021-08-31T22:27:00,,0x00000000010C850838842AAD434067D5E76A2B623540,,2021-08-31T22:27:00,,960E1A48-CBDE-4D59-AEE8-1C2EC95C4F05,2021-08-31T22:27:00,2,,,0,5164,0x00000000010C850838842AAD434067D5E76A2B623540,21.383475,39.35286
0,128779,34,,,58425,,2021-08-31T22:27:00,,0x00000000010C36E50AEF72A143408B54185B086A3540,,2021-08-31T22:27:00,,A3EBF79B-5824-445C-B6F9-BA15B2068D12,2021-08-31T22:27:00,1,,,0,41301,0x00000000010C36E50AEF72A143408B54185B086A3540,21.41419,39.26132
24,135825,3,,,,0,2021-08-31T22:27:00,,0x00000000010C000000807E3A4740000000C029883840,,2021-08-31T22:25:00,,0B4E7EBD-822F-4DD7-984B-A15705D46587,2021-08-31T22:27:00,2,,0,0,14850,0x00000000010C000000807E3A4740000000C029883840,24.53188705,46.45698547
0,53910,39,,,37442,,2021-08-31T21:21:00,,0x00000000010C6CEDD8637DE8454095664EF27EAD3A40,,2021-08-31T21:20:00,,59D0A0A3-44F6-43E8-9881-AD735A1976D2,2021-08-31T21:21:00,3,,,10,21118.35938,0x00000000010C6CEDD8637DE8454095664EF27EAD3A40,26.6777183,43.8163266
0,28720,39,,,21984,,2021-08-31T21:21:00,,0x00000000010C68AED3484B714540A31EA2D11DE43940,,2021-08-31T21:21:00,,BAA02120-036C-435F-ACEF-250BEF29CA56,2021-08-31T21:21:00,5,,,81,0,0x00000000010C68AED3484B714540A31EA2D11DE43940,25.89108,42.88511
0,143274,39,,,,,2021-08-31T21:21:00,,0x00000000010C289B7285770F49409A609390A36A3A40,,2021-08-31T21:21:00,,021DCAE1-1F11-43B6-A379-AFBBB91DBCE0,2021-08-31T21:21:00,3,,,19,13583.65527,0x00000000010C289B7285770F49409A609390A36A3A40,26.4165583,50.120835
0,63729,39,,,44558,,2021-08-31T21:21:00,,0x00000000010C7EC68503211749408F537424976B3A40,,2021-08-31T21:20:00,,2646B97E-5311-472B-8E50-E1090A6C02C4,2021-08-31T21:21:00,1,,,0,25037.27539,0x00000000010C7EC68503211749408F537424976B3A40,26.420275,50.180695
0,147993,39,,,,,2021-08-31T21:21:00,,0x00000000010C4925862EF2B745405137AB99100C3A40,,2021-08-31T21:21:00,,76B1EAAE-F368-47DA-BBDE-FAE9AB9FFEBD,2021-08-31T21:21:00,3,,,82,0,0x00000000010C4925862EF2B745405137AB99100C3A40,26.0471283,43.4370783
